iter	MAE
0	115.6562414
1	105.4503687
2	96.42771964
3	88.36529072
4	80.95455951
5	74.19641594
6	68.19243016
7	62.89994554
8	58.12182991
9	53.97155205
10	50.16567858
11	46.9944733
12	44.04531198
13	41.84882929
14	39.87689691
15	37.93762772
16	36.43637643
17	35.08442649
18	34.18164621
19	32.77089717
20	31.58840841
21	30.51146926
22	29.39205939
23	28.43264923
24	27.60082808
25	26.79074838
26	26.09381099
27	25.4424445
28	24.84147449
29	24.33091087
30	23.84479882
31	23.40471026
32	22.99005556
33	22.64090247
34	22.28952782
35	21.96177643
36	21.71284729
37	21.46629437
38	21.20436811
39	20.95167654
40	20.70375597
41	20.50628205
42	20.20267578
43	19.94974935
44	19.81464602
45	19.65504888
46	19.46867157
47	19.25731979
48	19.11219201
49	18.99748234
50	18.90831122
51	18.739244
52	18.6470101
53	18.47288075
54	18.38552928
55	18.27117471
56	18.14799603
57	18.01410331
58	17.8984141
59	17.78022591
60	17.66251829
61	17.56190372
62	17.46498071
63	17.33956955
64	17.24856593
65	17.15651074
66	17.09235593
67	17.02233254
68	16.94463425
69	16.89465923
70	16.81334294
71	16.7457403
72	16.69301464
73	16.64093818
74	16.60325184
75	16.53507506
76	16.48251977
77	16.44143525
78	16.36230574
79	16.30328245
80	16.23912945
81	16.18459729
82	16.13197447
83	16.07427802
84	16.01134978
85	15.92556148
86	15.86369108
87	15.81320654
88	15.75571955
89	15.70746845
90	15.66899121
91	15.60303002
92	15.55616269
93	15.51389763
94	15.46096726
95	15.42998491
96	15.38099012
97	15.34150967
98	15.2847652
99	15.24566595
100	15.19116151
101	15.16486477
102	15.13805888
103	15.09181715
104	15.02854578
105	14.98002978
106	14.94710083
107	14.92527584
108	14.89990589
109	14.84025
110	14.79309435
111	14.74918602
112	14.68402599
113	14.63849666
114	14.61566753
115	14.57726584
116	14.55008466
117	14.50371292
118	14.46530213
119	14.43203799
120	14.41275524
121	14.39437689
122	14.35383742
123	14.32190761
124	14.31015223
125	14.28953379
126	14.25605624
127	14.23971869
128	14.22408791
129	14.20498868
130	14.19553992
131	14.18686705
132	14.15804266
133	14.12426893
134	14.09811543
135	14.08000168
136	14.06174406
137	14.00850322
138	13.9664226
139	13.94068195
140	13.91312152
141	13.88294685
142	13.85925128
143	13.82214307
144	13.796774
145	13.76849083
146	13.74234672
147	13.71325211
148	13.6837956
149	13.66059524
150	13.64421914
151	13.62769089
152	13.59417154
153	13.57877777
154	13.54964769
155	13.53417944
156	13.51329144
157	13.49346427
158	13.47284761
159	13.45273726
160	13.43404437
161	13.40704432
162	13.37184487
163	13.35247393
164	13.32846156
165	13.31431981
166	13.28728097
167	13.25824789
168	13.24692443
169	13.23783761
170	13.20076047
171	13.19429278
172	13.16340617
173	13.15279295
174	13.12002964
175	13.08368225
176	13.06942975
177	13.05157021
178	13.01882031
179	13.00025887
180	12.98372914
181	12.96833619
182	12.94758121
183	12.93705399
184	12.90408912
185	12.88547006
186	12.86570315
187	12.84218849
188	12.81758767
189	12.78805541
190	12.75719496
191	12.73497213
192	12.70805541
193	12.69056543
194	12.68298553
195	12.67431103
196	12.64975942
197	12.63324401
198	12.61345585
199	12.60573114
200	12.59301943
201	12.57809756
202	12.56184697
203	12.55660866
204	12.54219117
205	12.52650362
206	12.50967216
207	12.49893509
208	12.49003854
